timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604068714139,2455,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-1,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",219,0,0
1604068714499,2565,Gazeta.pl main page,200,OK,Gazeta.pl users 1-4,text,true,,668313,238,5,5,"https://www.gazeta.pl/0,0.html",177,0,0
1604068714499,177,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-4,text,true,,457,115,5,5,http://www.gazeta.pl/,177,0,0
1604068714676,2388,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-4,text,true,,667856,123,5,5,"https://www.gazeta.pl/0,0.html",201,0,0
1604068714739,2369,Gazeta.pl main page,200,OK,Gazeta.pl users 1-5,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",68,0,0
1604068714739,68,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-5,text,true,,457,115,5,5,http://www.gazeta.pl/,68,0,0
1604068714807,2301,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-5,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",201,0,0
1604068715203,2402,Gazeta.pl main page,200,OK,Gazeta.pl users 1-2,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",133,0,0
1604068715203,133,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-2,text,true,,457,115,5,5,http://www.gazeta.pl/,133,0,0
1604068715336,2269,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-2,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",192,0,0
1604068716595,2466,Gazeta.pl main page,200,OK,Gazeta.pl users 1-1,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",135,0,0
1604068716595,135,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-1,text,true,,457,115,5,5,http://www.gazeta.pl/,135,0,0
1604068716730,2331,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-1,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",275,0,0
1604068717109,2404,Gazeta.pl main page,200,OK,Gazeta.pl users 1-5,text,true,,670368,238,5,5,"https://www.gazeta.pl/0,0.html",80,0,0
1604068717109,80,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-5,text,true,,457,115,5,5,http://www.gazeta.pl/,80,0,0
1604068717189,2324,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-5,text,true,,669911,123,5,5,"https://www.gazeta.pl/0,0.html",313,0,0
1604068717065,2485,Gazeta.pl main page,200,OK,Gazeta.pl users 1-4,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",76,0,0
1604068717065,76,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-4,text,true,,457,115,5,5,http://www.gazeta.pl/,76,0,0
1604068717142,2408,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-4,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",170,0,0
1604068716574,2996,Gazeta.pl main page,200,OK,Gazeta.pl users 1-3,text,true,,665313,238,5,5,"https://www.gazeta.pl/0,0.html",156,0,0
1604068716574,156,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-3,text,true,,457,115,5,5,http://www.gazeta.pl/,156,0,0
1604068716730,2840,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-3,text,true,,664856,123,5,5,"https://www.gazeta.pl/0,0.html",276,0,0
1604068717606,2559,Gazeta.pl main page,200,OK,Gazeta.pl users 1-2,text,true,,668313,238,5,5,"https://www.gazeta.pl/0,0.html",143,0,0
1604068717606,143,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-2,text,true,,457,115,5,5,http://www.gazeta.pl/,143,0,0
1604068717750,2415,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-2,text,true,,667856,123,5,5,"https://www.gazeta.pl/0,0.html",197,0,0
1604068719062,2419,Gazeta.pl main page,200,OK,Gazeta.pl users 1-1,text,true,,670368,238,5,5,"https://www.gazeta.pl/0,0.html",108,0,0
1604068719062,108,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-1,text,true,,457,115,5,5,http://www.gazeta.pl/,108,0,0
1604068719170,2311,Gazeta.pl main page-1,200,OK,Gazeta.pl users 1-1,text,true,,669911,123,5,5,"https://www.gazeta.pl/0,0.html",189,0,0
1604068719514,2474,Gazeta.pl main page,200,OK,Gazeta.pl users 1-5,text,true,,668313,238,5,5,"https://www.gazeta.pl/0,0.html",98,0,0
1604068719514,98,Gazeta.pl main page-0,301,Moved Permanently,Gazeta.pl users 1-5,text,true,,457,115,5,5,http://www.gazeta.pl/,98,0,0
